Unnamed: 0,Unnamed: 0.1,date,iso3166,Net generation,unit_x,Retail sales of electricity,unit_y,Revenue from retail sales of electricity,unit_x.1,Average retail price of electricity,unit_y.1,Number of customer accounts,unit,TAVG,TMAX,TMIN,state
0,0,2018-12-01,USA-AK,508.48364,thousand megawatthours,541.79201,million kilowatthours,107.60184,million dollars,19.86,cents per kilowatthour,344957.0,number of customers,13.919636363636364,19.644565217391303,8.19127272727273,Alaska
1,1,2018-11-01,USA-AK,459.47404000000006,thousand megawatthours,507.34973,million kilowatthours,97.41503,million dollars,19.2,cents per kilowatthour,345444.0,number of customers,22.048986486486463,27.52905405405405,16.563513513513513,Alaska
2,2,2018-10-01,USA-AK,437.14615,thousand megawatthours,472.18412,million kilowatthours,94.8977,million dollars,20.1,cents per kilowatthour,346050.0,number of customers,36.28963210702341,43.01666666666668,29.61266666666667,Alaska
3,3,2018-09-01,USA-AK,566.15276,thousand megawatthours,466.33372,million kilowatthours,90.49571,million dollars,19.41,cents per kilowatthour,345366.0,number of customers,46.67342192691032,55.364026402640285,37.99667774086376,Alaska
4,4,2018-08-01,USA-AK,636.6015,thousand megawatthours,471.08394,million kilowatthours,93.52328,million dollars,19.85,cents per kilowatthour,345757.0,number of customers,51.921967213114776,58.71901639344261,45.120327868852435,Alaska
5,5,2018-07-01,USA-AK,641.2066599999998,thousand megawatthours,467.4449,million kilowatthours,96.68587,million dollars,20.68,cents per kilowatthour,345125.0,number of customers,57.7167741935484,67.1212903225807,48.313870967741906,Alaska
6,6,2018-06-01,USA-AK,528.29036,thousand megawatthours,449.52431,million kilowatthours,88.87293000000003,million dollars,19.77,cents per kilowatthour,346805.0,number of customers,51.874183006535944,61.116233766233776,42.642857142857146,Alaska
7,7,2018-05-01,USA-AK,505.8748,thousand megawatthours,473.27132,million kilowatthours,92.48763,million dollars,19.54,cents per kilowatthour,346145.0,number of customers,42.64342105263157,51.04013157894741,34.26229508196719,Alaska
8,8,2018-04-01,USA-AK,495.05631,thousand megawatthours,481.19346,million kilowatthours,93.41454,million dollars,19.41,cents per kilowatthour,343490.0,number of customers,30.469774919614142,39.40353697749197,21.535691318327984,Alaska
9,9,2018-03-01,USA-AK,597.0919,thousand megawatthours,538.5998400000002,million kilowatthours,103.91472,million dollars,19.29,cents per kilowatthour,343015.0,number of customers,20.85700325732898,29.665798045602607,12.04560260586319,Alaska
10,10,2018-02-01,USA-AK,534.86311,thousand megawatthours,552.32958,million kilowatthours,105.62641,million dollars,19.12,cents per kilowatthour,342412.0,number of customers,14.234137931034484,21.79689655172414,6.666896551724138,Alaska
11,11,2018-01-01,USA-AK,604.55121,thousand megawatthours,577.62162,million kilowatthours,113.28861,million dollars,19.61,cents per kilowatthour,342562.0,number of customers,9.9437062937063,16.04020979020979,3.9795138888888895,Alaska
12,12,2018-12-01,USA-AL,11781.00376,thousand megawatthours,7173.91876,million kilowatthours,675.5567900000002,million dollars,9.42,cents per kilowatthour,2645983.0,number of customers,48.66559139784946,57.59893617021278,39.78817204301074,Alabama
13,13,2018-11-01,USA-AL,10926.37891,thousand megawatthours,6745.029159999999,million kilowatthours,646.1983799999998,million dollars,9.58,cents per kilowatthour,2644208.0,number of customers,50.22371134020619,60.37346938775511,40.06907216494845,Alabama
