order,rmse,rmsloge,typ,dynamic,trend
"(0, 0, 0)",,,linear,True,c
"(0, 0, 0)",,,linear,True,nc
"(0, 0, 0)",,,linear,False,c
"(0, 0, 0)",,,linear,False,nc
"(0, 0, 0)",,,levels,True,c
"(0, 0, 0)",,,levels,True,nc
"(0, 0, 0)",,,levels,False,c
"(0, 0, 0)",,,levels,False,nc
"(0, 0, 1)",,,linear,True,c
"(0, 0, 1)",,,linear,True,nc
"(0, 0, 1)",,,linear,False,c
"(0, 0, 1)",,,linear,False,nc
"(0, 0, 1)",,,levels,True,c
"(0, 0, 1)",,,levels,True,nc
"(0, 0, 1)",,,levels,False,c
"(0, 0, 1)",,,levels,False,nc
"(0, 0, 2)",,,linear,True,c
"(0, 0, 2)",,,linear,True,nc
"(0, 0, 2)",,,linear,False,c
"(0, 0, 2)",,,linear,False,nc
"(0, 0, 2)",,,levels,True,c
"(0, 0, 2)",,,levels,True,nc
"(0, 0, 2)",,,levels,False,c
"(0, 0, 2)",,,levels,False,nc
"(0, 1, 0)",9.97503554163691,,linear,True,c
"(0, 1, 0)",,,linear,True,nc
"(0, 1, 0)",9.97503554163691,,linear,False,c
"(0, 1, 0)",,,linear,False,nc
"(0, 1, 0)",0.543143823014975,,levels,True,c
"(0, 1, 0)",,,levels,True,nc
"(0, 1, 0)",0.543143823014977,,levels,False,c
"(0, 1, 0)",,,levels,False,nc
"(0, 1, 1)",9.973801353966513,,linear,True,c
"(0, 1, 1)",9.994352901134963,,linear,True,nc
"(0, 1, 1)",9.973801353966513,,linear,False,c
"(0, 1, 1)",9.994352901134963,,linear,False,nc
"(0, 1, 1)",0.5251638897603506,9.994352901134963,levels,True,c
"(0, 1, 1)",0.8211337290725496,0.5251638897603506,levels,True,nc
"(0, 1, 1)",0.5251638897603501,0.8211337290725496,levels,False,c
"(0, 1, 1)",0.8211337290725496,0.5251638897603501,levels,False,nc
"(0, 1, 2)",,,linear,True,c
"(0, 1, 2)",,,linear,True,nc
"(0, 1, 2)",,,linear,False,c
"(0, 1, 2)",,,linear,False,nc
"(0, 1, 2)",,,levels,True,c
"(0, 1, 2)",,,levels,True,nc
"(0, 1, 2)",,,levels,False,c
"(0, 1, 2)",,,levels,False,nc
"(0, 2, 0)",9.996017369665083,,linear,True,c
"(0, 2, 0)",,,linear,True,nc
"(0, 2, 0)",9.996017369665083,,linear,False,c
"(0, 2, 0)",,,linear,False,nc
"(0, 2, 0)",0.8674994810328437,,levels,True,c
"(0, 2, 0)",,,levels,True,nc
"(0, 2, 0)",1.4356985176157873,,levels,False,c
"(0, 2, 0)",,,levels,False,nc
"(0, 2, 1)",9.995122733228992,,linear,True,c
"(0, 2, 1)",9.99470189424145,9.995122733228992,linear,True,nc
"(0, 2, 1)",9.995122733228992,,linear,False,c
"(0, 2, 1)",9.99470189424145,9.995122733228992,linear,False,nc
"(0, 2, 1)",0.8419713859994344,9.99470189424145,levels,True,c
"(0, 2, 1)",0.8331589233449288,0.8419713859994344,levels,True,nc
"(0, 2, 1)",1.5043218882808398,0.8331589233449288,levels,False,c
"(0, 2, 1)",1.3024743577261486,1.5043218882808398,levels,False,nc
"(0, 2, 2)",9.996344294906025,,linear,True,c
"(0, 2, 2)",9.995588765766863,,linear,True,nc
"(0, 2, 2)",9.996344294906025,,linear,False,c
"(0, 2, 2)",9.995588765766863,,linear,False,nc
"(0, 2, 2)",0.8822936560130094,9.995588765766863,levels,True,c
"(0, 2, 2)",0.8626962559686995,0.8822936560130094,levels,True,nc
"(0, 2, 2)",0.8683480678327126,0.8626962559686995,levels,False,c
"(0, 2, 2)",0.5267191537049254,0.8683480678327126,levels,False,nc
"(1, 0, 0)",,,linear,True,c
"(1, 0, 0)",,,linear,True,nc
"(1, 0, 0)",,,linear,False,c
"(1, 0, 0)",,,linear,False,nc
"(1, 0, 0)",,,levels,True,c
"(1, 0, 0)",,,levels,True,nc
"(1, 0, 0)",,,levels,False,c
"(1, 0, 0)",,,levels,False,nc
"(1, 0, 1)",,,linear,True,c
"(1, 0, 1)",,,linear,True,nc
"(1, 0, 1)",,,linear,False,c
"(1, 0, 1)",,,linear,False,nc
"(1, 0, 1)",,,levels,True,c
"(1, 0, 1)",,,levels,True,nc
"(1, 0, 1)",,,levels,False,c
"(1, 0, 1)",,,levels,False,nc
